"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2023","92.15","92.71","92.97","91.81","299.47K","0.10%"
"04/17/2023","92.06","91.70","92.11","91.27","344.40K","0.03%"
"04/14/2023","92.03","91.71","92.58","91.12","245.79K","-0.29%"
"04/13/2023","92.30","90.97","92.40","90.89","347.13K","1.99%"
"04/12/2023","90.50","91.64","91.98","90.36","453.43K","-0.60%"
"04/11/2023","91.05","91.73","91.73","90.82","336.21K","-0.89%"
"04/10/2023","91.87","91.02","91.88","90.59","337.90K","-0.15%"
"04/06/2023","92.01","90.68","92.12","90.18","568.54K","0.90%"
"04/05/2023","91.19","91.97","92.00","90.51","398.26K","-1.25%"
"04/04/2023","92.34","92.94","93.25","92.00","548.23K","-0.46%"
"04/03/2023","92.77","92.30","92.82","91.81","777.82K","-0.04%"
"03/31/2023","92.81","91.20","92.93","91.05","567.50K","1.71%"
"03/30/2023","91.25","91.01","91.41","90.68","421.39K","1.00%"
"03/29/2023","90.35","89.67","90.55","89.53","693.55K","1.93%"
"03/28/2023","88.64","89.02","89.02","87.82","424.81K","-0.56%"
"03/27/2023","89.14","90.09","90.38","88.91","440.97K","-1.01%"
"03/24/2023","90.05","89.77","90.05","88.97","501.87K","0.13%"
"03/23/2023","89.93","89.60","91.12","89.14","780.25K","1.51%"
"03/22/2023","88.59","89.60","91.34","88.59","733.17K","-1.15%"
"03/21/2023","89.62","88.97","89.78","88.37","802.34K","1.28%"
"03/20/2023","88.49","88.16","88.60","87.43","1.92M","0.15%"
"03/17/2023","88.36","88.91","89.48","87.81","6.63M","-0.20%"
"03/16/2023","88.54","85.57","88.64","85.49","904.65K","3.23%"
"03/15/2023","85.77","84.60","85.91","84.12","705.50K","0.45%"
"03/14/2023","85.39","84.52","85.66","84.21","479.64K","2.57%"
"03/13/2023","83.25","82.02","84.31","81.54","1.74M","0.70%"
"03/10/2023","82.67","84.11","84.44","82.32","488.96K","-1.86%"
"03/09/2023","84.24","85.97","86.85","84.07","309.82K","-1.84%"
"03/08/2023","85.82","85.19","85.98","84.98","270.23K","0.95%"
"03/07/2023","85.01","85.99","86.35","84.82","421.26K","-1.16%"
"03/06/2023","86.01","86.28","87.32","85.90","434.47K","0.28%"
"03/03/2023","85.77","84.35","85.77","84.35","210.95K","2.29%"
"03/02/2023","83.85","82.34","84.08","82.23","315.24K","1.38%"
"03/01/2023","82.71","83.23","83.64","82.61","523.80K","-0.71%"
"02/28/2023","83.30","83.00","84.07","82.97","239.59K","0.11%"
"02/27/2023","83.21","83.79","84.06","83.09","205.48K","0.43%"
"02/24/2023","82.85","82.90","83.11","82.35","237.16K","-1.82%"
"02/23/2023","84.39","84.71","84.79","83.18","583.25K","1.48%"
"02/22/2023","83.16","83.30","83.77","82.70","394.64K","0.08%"
"02/21/2023","83.09","84.02","84.58","83.07","325.83K","-2.50%"
"02/17/2023","85.22","85.63","85.77","84.41","353.03K","-1.30%"
"02/16/2023","86.34","86.50","87.64","86.25","294.29K","-2.08%"
"02/15/2023","88.17","86.97","88.17","86.81","263.06K","0.71%"
"02/14/2023","87.55","86.48","87.86","85.94","417.39K","0.79%"
"02/13/2023","86.86","85.82","87.08","85.62","726.67K","1.79%"
"02/10/2023","85.33","85.39","85.82","84.66","258.97K","-0.96%"
"02/09/2023","86.16","88.17","88.24","85.72","984.15K","-0.91%"
"02/08/2023","86.95","88.30","88.70","86.77","305.61K","-1.97%"
"02/07/2023","88.70","86.39","89.04","86.29","356.54K","2.80%"
"02/06/2023","86.28","86.39","87.13","85.94","379.11K","-1.29%"
"02/03/2023","87.41","86.59","89.24","86.59","625.43K","-1.57%"
"02/02/2023","88.80","87.48","89.34","87.17","2.08M","4.45%"
"02/01/2023","85.02","82.63","85.65","82.41","1.12M","2.82%"
"01/31/2023","82.69","81.37","82.71","81.37","315.99K","1.58%"
"01/30/2023","81.40","82.23","82.54","81.32","340.38K","-2.19%"
"01/27/2023","83.22","82.15","83.86","82.09","465.53K","0.62%"
"01/26/2023","82.71","82.00","82.77","81.15","351.61K","2.02%"
"01/25/2023","81.07","79.97","81.33","79.16","434.73K","-0.49%"
"01/24/2023","81.47","81.25","81.97","81.07","333.18K","-0.38%"
"01/23/2023","81.78","79.96","82.09","79.83","703.54K","2.73%"
"01/20/2023","79.61","77.67","79.67","77.45","392.84K","3.14%"
"01/19/2023","77.19","77.20","77.86","76.77","315.74K","-0.78%"
"01/18/2023","77.80","79.24","79.79","77.75","421.19K","-1.14%"
"01/17/2023","78.70","78.31","79.08","78.00","965.30K","0.42%"
"01/13/2023","78.37","77.11","78.46","77.11","366.58K","0.50%"
"01/12/2023","77.98","77.52","78.31","76.33","515.01K","0.71%"
"01/11/2023","77.43","76.22","77.45","76.04","2.37M","1.87%"
"01/10/2023","76.01","75.06","76.01","74.84","314.08K","0.70%"
"01/09/2023","75.48","75.22","76.92","75.22","503.12K","1.36%"
"01/06/2023","74.47","73.19","74.82","72.09","493.17K","2.66%"
"01/05/2023","72.54","73.66","73.66","72.44","586.68K","-2.21%"
"01/04/2023","74.18","74.47","74.66","73.29","466.84K","0.31%"
"01/03/2023","73.95","75.28","76.00","73.40","474.47K","-0.72%"
"12/30/2022","74.49","73.57","74.49","73.30","479.26K","-0.05%"
"12/29/2022","74.53","73.18","74.80","73.05","443.68K","2.94%"
"12/28/2022","72.40","73.34","74.00","72.33","598.33K","-1.63%"
"12/27/2022","73.60","74.21","74.21","73.26","379.18K","-1.17%"
"12/23/2022","74.47","73.88","74.55","73.29","506.51K","0.13%"
"12/22/2022","74.37","75.37","75.37","73.10","453.41K","-2.76%"
"12/21/2022","76.48","75.42","76.79","75.23","648.58K","1.68%"
"12/20/2022","75.22","74.50","75.59","74.19","912.97K","0.23%"
"12/19/2022","75.05","76.36","76.36","74.56","409.09K","-1.60%"
"12/16/2022","76.27","76.95","77.47","75.85","451.57K","-1.04%"
"12/15/2022","77.07","78.79","78.95","76.69","448.20K","-3.89%"
"12/14/2022","80.19","80.72","81.71","79.20","584.42K","-0.74%"
"12/13/2022","80.79","82.64","83.31","79.97","511.16K","1.51%"
"12/12/2022","79.59","78.24","79.60","78.11","270.86K","1.91%"
"12/09/2022","78.10","78.25","79.18","77.90","286.92K","-0.53%"
"12/08/2022","78.52","77.83","78.83","77.12","332.23K","1.63%"
"12/07/2022","77.26","77.48","78.05","76.89","487.72K","-0.69%"
"12/06/2022","77.80","79.54","79.64","77.33","480.77K","-2.31%"
"12/05/2022","79.64","80.69","81.05","79.18","390.64K","-1.84%"
"12/02/2022","81.13","80.06","81.39","79.96","337.91K","-0.72%"
"12/01/2022","81.72","81.48","82.04","80.62","405.24K","0.37%"
"11/30/2022","81.42","77.09","81.44","77.09","524.16K","5.43%"
"11/29/2022","77.23","77.97","78.15","76.92","314.23K","-0.95%"
"11/28/2022","77.97","78.94","79.32","77.67","344.62K","-2.17%"
"11/25/2022","79.70","79.75","79.98","79.59","116.84K","-0.78%"
"11/23/2022","80.33","79.30","80.53","79.30","267.25K","1.16%"
"11/22/2022","79.41","78.16","79.47","77.54","400.43K","1.87%"
"11/21/2022","77.95","78.41","78.73","77.81","366.75K","-1.30%"
"11/18/2022","78.98","80.00","80.00","78.33","332.46K","-0.16%"
"11/17/2022","79.11","77.95","79.54","77.73","549.30K","-0.23%"
"11/16/2022","79.29","80.04","80.13","79.07","436.14K","-1.91%"
"11/15/2022","80.83","81.51","81.85","79.94","486.30K","1.83%"
"11/14/2022","79.38","79.56","80.42","78.93","387.09K","-1.05%"
"11/11/2022","80.22","78.19","80.56","77.91","604.68K","2.48%"
"11/10/2022","78.28","75.69","78.38","75.46","661.98K","8.84%"
"11/09/2022","71.92","73.01","73.14","71.83","388.80K","-2.36%"
"11/08/2022","73.66","73.47","74.61","72.56","610.33K","1.00%"
"11/07/2022","72.93","71.90","73.07","71.32","464.76K","1.74%"
"11/04/2022","71.68","72.16","72.37","70.00","837.54K","1.36%"
"11/03/2022","70.72","71.74","72.07","70.70","693.37K","-2.66%"
"11/02/2022","72.65","75.47","76.23","72.64","521.64K","-3.81%"
"11/01/2022","75.53","77.34","77.65","75.40","509.47K","-1.13%"
"10/31/2022","76.39","76.72","77.01","75.90","511.01K","-1.39%"
"10/28/2022","77.47","74.75","77.65","74.75","717.72K","4.08%"
"10/27/2022","74.43","75.72","76.26","74.29","978.53K","-2.25%"
"10/26/2022","76.14","76.17","78.00","75.84","734.41K","-3.39%"
"10/25/2022","78.81","77.33","78.90","77.30","930.19K","2.18%"
"10/24/2022","77.13","76.36","77.37","75.27","1.89M","1.22%"
"10/21/2022","76.20","74.01","76.34","73.75","4.03M","2.30%"
"10/20/2022","74.49","74.52","76.16","74.10","18.63M","0.31%"
"10/19/2022","74.26","74.06","75.15","73.60","322.80K","-0.47%"
"10/18/2022","74.61","75.93","76.25","73.70","561.96K","0.89%"
"10/17/2022","73.95","73.27","74.24","73.27","443.07K","3.40%"
"10/14/2022","71.52","74.40","74.64","71.41","653.97K","-3.01%"
"10/13/2022","73.74","69.78","74.17","69.49","4.91M","2.56%"
"10/12/2022","71.90","72.07","72.57","71.65","426.23K","-0.22%"
"10/11/2022","72.06","72.75","73.42","71.48","792.15K","-1.66%"
"10/10/2022","73.28","74.71","74.81","72.54","633.40K","-1.91%"
"10/07/2022","74.71","76.42","76.50","74.34","607.13K","-4.34%"
"10/06/2022","78.10","78.19","79.31","78.02","381.89K","-0.57%"
"10/05/2022","78.55","77.12","79.07","76.60","462.30K","0.28%"
"10/04/2022","78.33","77.10","78.35","77.10","622.16K","3.53%"
"10/03/2022","75.66","73.97","76.06","73.72","497.49K","3.12%"
"09/30/2022","73.37","74.41","75.68","73.32","999.76K","-1.79%"
"09/29/2022","74.71","75.64","75.70","73.79","677.95K","-2.70%"
"09/28/2022","76.78","75.32","77.14","74.87","514.77K","1.37%"
"09/27/2022","75.74","76.50","77.22","74.98","870.81K","0.34%"
"09/26/2022","75.48","75.86","77.21","75.37","658.58K","-0.96%"
"09/23/2022","76.21","76.50","76.80","75.20","838.22K","-1.33%"
"09/22/2022","77.24","77.67","78.11","76.86","425.56K","-1.10%"
"09/21/2022","78.10","79.61","81.08","78.10","435.71K","-1.50%"
"09/20/2022","79.29","79.19","79.96","78.73","444.70K","-0.84%"
"09/19/2022","79.96","78.48","80.06","78.48","285.58K","0.87%"
"09/16/2022","79.27","79.01","79.43","78.30","796.18K","-0.84%"
"09/15/2022","79.94","81.03","81.70","79.50","386.77K","-2.30%"
"09/14/2022","81.82","81.73","82.16","80.99","325.50K","0.48%"
"09/13/2022","81.43","83.71","83.90","81.23","396.54K","-5.69%"
"09/12/2022","86.34","85.64","86.34","85.50","333.08K","1.37%"
"09/09/2022","85.17","83.83","85.38","83.83","197.11K","2.44%"
"09/08/2022","83.14","82.09","83.57","81.73","385.19K","0.52%"
"09/07/2022","82.71","81.53","83.07","81.18","325.62K","1.71%"
"09/06/2022","81.32","82.12","82.38","80.86","524.02K","-0.94%"
"09/02/2022","82.09","84.03","84.54","81.66","316.60K","-1.24%"
"09/01/2022","83.12","82.90","83.28","81.33","452.12K","-0.78%"
"08/31/2022","83.77","85.23","85.52","83.77","270.01K","-0.79%"
"08/30/2022","84.44","85.89","85.91","83.66","305.44K","-0.96%"
"08/29/2022","85.26","85.73","86.34","85.01","287.57K","-1.46%"
"08/26/2022","86.52","90.37","90.60","86.49","365.05K","-4.49%"
"08/25/2022","90.59","89.08","90.61","89.08","213.63K","2.10%"
"08/24/2022","88.73","88.42","89.20","88.25","185.31K","0.24%"
"08/23/2022","88.52","88.54","89.62","88.41","316.54K","-0.23%"
"08/22/2022","88.72","90.00","90.00","88.46","236.39K","-2.88%"
"08/19/2022","91.35","92.55","92.55","91.11","246.50K","-2.21%"
"08/18/2022","93.41","92.87","93.80","92.57","368.51K","0.43%"
"08/17/2022","93.01","93.22","93.81","92.35","524.82K","-1.12%"
"08/16/2022","94.06","94.08","94.60","93.15","229.95K","-0.47%"
"08/15/2022","94.50","93.68","94.67","93.54","214.86K","0.46%"
"08/12/2022","94.07","92.71","94.07","92.49","287.57K","2.21%"
"08/11/2022","92.04","93.37","94.00","91.86","738.26K","-0.68%"
"08/10/2022","92.67","91.94","92.71","91.42","1.13M","3.30%"
"08/09/2022","89.71","90.20","90.30","89.15","182.26K","-1.44%"
"08/08/2022","91.02","91.43","92.62","90.58","238.21K","-0.60%"
"08/05/2022","91.57","90.22","92.00","90.18","316.03K","-0.25%"
"08/04/2022","91.80","91.18","91.80","90.56","318.60K","0.49%"
"08/03/2022","91.35","89.06","91.58","89.06","299.02K","2.89%"
"08/02/2022","88.78","88.18","89.80","87.85","226.53K","-0.26%"
"08/01/2022","89.01","88.41","90.00","88.09","237.82K","-0.15%"
"07/29/2022","89.14","87.86","89.34","87.42","333.18K","1.54%"
"07/28/2022","87.79","86.61","87.91","85.71","264.28K","1.07%"
"07/27/2022","86.86","84.36","87.35","84.30","347.67K","4.98%"
"07/26/2022","82.74","84.23","84.28","82.46","266.10K","-2.24%"
"07/25/2022","84.64","85.16","85.37","83.97","340.23K","-0.86%"
"07/22/2022","85.37","87.00","87.42","84.83","293.04K","-2.47%"
"07/21/2022","87.53","86.58","87.53","85.43","1.07M","1.24%"
"07/20/2022","86.46","84.71","86.83","84.70","418.63K","2.08%"
"07/19/2022","84.70","83.09","84.81","82.50","312.45K","3.27%"
"07/18/2022","82.02","83.69","84.06","81.76","261.94K","-0.94%"
"07/15/2022","82.80","82.14","82.83","81.71","440.80K","1.85%"
"07/14/2022","81.30","80.25","81.62","79.15","296.72K","0.38%"
"07/13/2022","80.99","79.75","81.61","79.64","355.76K","-0.48%"
"07/12/2022","81.38","82.93","83.53","80.91","344.87K","-1.54%"
"07/11/2022","82.65","83.49","83.49","82.21","171.79K","-2.14%"
"07/08/2022","84.46","83.28","84.81","83.15","324.65K","0.09%"
"07/07/2022","84.38","82.73","84.59","82.72","287.41K","2.53%"
"07/06/2022","82.30","81.76","82.96","81.35","421.49K","0.71%"
"07/05/2022","81.72","78.72","81.74","78.38","420.06K","2.24%"
"07/01/2022","79.93","79.46","80.16","78.62","323.72K","-0.03%"
"06/30/2022","79.95","80.10","81.04","78.61","352.47K","-1.54%"
"06/29/2022","81.20","81.12","81.79","80.39","238.94K","-0.01%"
"06/28/2022","81.21","84.05","84.66","81.18","332.90K","-3.28%"
"06/27/2022","83.96","84.99","84.99","83.58","321.99K","-0.86%"
"06/24/2022","84.69","82.29","84.70","82.29","463.50K","4.03%"
"06/23/2022","81.41","80.73","81.60","79.99","490.68K","1.78%"
"06/22/2022","79.99","79.42","81.26","79.39","497.76K","-0.39%"
"06/21/2022","80.30","79.60","81.12","79.60","472.57K","2.48%"
"06/17/2022","78.36","77.56","79.06","77.01","612.22K","1.07%"
"06/16/2022","77.53","78.96","79.05","76.91","493.70K","-4.31%"
"06/15/2022","81.02","80.14","82.22","79.25","453.07K","2.39%"
"06/14/2022","79.13","79.40","79.82","78.40","540.41K","0.55%"
"06/13/2022","78.70","80.05","80.79","78.45","685.27K","-4.88%"
"06/10/2022","82.74","84.63","84.83","82.73","391.61K","-4.01%"
"06/09/2022","86.20","88.00","88.99","86.18","293.73K","-2.85%"
"06/08/2022","88.73","89.28","89.81","88.44","183.37K","-0.92%"
"06/07/2022","89.55","87.55","89.74","87.43","263.83K","1.22%"
"06/06/2022","88.47","89.51","90.10","88.07","182.62K","0.20%"
"06/03/2022","88.29","89.09","89.58","87.86","324.53K","-2.68%"
"06/02/2022","90.72","87.43","90.75","87.16","371.14K","3.04%"
"06/01/2022","88.04","89.25","90.17","87.42","480.18K","-0.31%"
"05/31/2022","88.31","88.75","89.28","87.37","459.16K","-0.69%"
"05/27/2022","88.92","86.74","88.93","86.74","476.23K","3.65%"
"05/26/2022","85.79","83.08","86.20","82.93","396.07K","2.60%"
"05/25/2022","83.62","81.91","84.26","81.91","395.00K","1.43%"
"05/24/2022","82.44","82.92","83.03","80.91","605.24K","-2.55%"
"05/23/2022","84.60","83.23","84.76","82.77","341.08K","1.89%"
"05/20/2022","83.03","84.25","84.51","80.40","1.18M","-0.06%"
"05/19/2022","83.08","83.11","84.61","82.78","1.07M","-0.53%"
"05/18/2022","83.52","86.49","86.82","83.23","690.87K","-4.82%"
"05/17/2022","87.75","87.28","87.86","86.08","503.28K","2.67%"
"05/16/2022","85.47","85.88","86.66","85.03","303.94K","-1.33%"
"05/13/2022","86.62","84.64","87.10","84.21","307.62K","3.81%"
"05/12/2022","83.44","82.82","84.79","81.49","1.27M","-0.48%"
"05/11/2022","83.84","85.92","87.65","83.65","662.25K","-3.35%"
"05/10/2022","86.75","87.45","88.09","85.31","1.32M","1.57%"
"05/09/2022","85.41","87.36","88.00","85.00","1.49M","-4.15%"
"05/06/2022","89.11","89.39","90.81","87.78","866.59K","-1.15%"
"05/05/2022","90.15","93.51","93.59","89.02","738.14K","-5.08%"
"05/04/2022","94.97","91.90","95.16","89.98","510.68K","3.66%"
"05/03/2022","91.62","91.46","92.25","90.77","703.43K","0.13%"
"05/02/2022","91.50","89.47","91.57","88.89","866.47K","2.13%"
"04/29/2022","89.59","92.36","93.75","89.46","567.35K","-4.13%"
"04/28/2022","93.45","91.18","94.05","90.37","469.80K","4.65%"
"04/27/2022","89.30","89.01","90.95","88.72","4.26M","0.11%"
"04/26/2022","89.20","91.94","91.94","89.20","756.72K","-3.78%"
"04/25/2022","92.70","90.48","92.77","90.34","458.59K","1.87%"
"04/22/2022","91.00","93.65","94.18","90.92","524.53K","-2.71%"
"04/21/2022","93.53","96.90","97.72","93.32","304.61K","-2.42%"
"04/20/2022","95.85","97.54","97.81","95.56","273.29K","-0.98%"
"04/19/2022","96.80","94.59","96.95","94.25","654.04K","2.12%"
"04/18/2022","94.79","94.17","95.36","93.84","500.59K","0.32%"
"04/14/2022","94.49","97.34","97.36","94.46","427.98K","-2.71%"
"04/13/2022","97.12","95.47","97.47","95.34","500.71K","1.83%"
"04/12/2022","95.37","97.43","98.01","94.96","304.86K","-0.45%"
"04/11/2022","95.80","97.00","97.07","95.71","589.53K","-2.43%"
"04/08/2022","98.19","99.48","99.48","98.03","216.17K","-1.75%"
"04/07/2022","99.94","99.26","100.59","98.34","334.34K","0.34%"
"04/06/2022","99.60","100.59","100.81","98.84","474.37K","-2.81%"
"04/05/2022","102.48","104.65","104.84","102.15","404.82K","-2.44%"
"04/04/2022","105.04","102.99","105.08","102.99","406.98K","2.22%"
"04/01/2022","102.76","103.16","103.51","101.63","322.39K","-0.27%"
"03/31/2022","103.04","104.76","104.82","103.00","420.69K","-1.68%"
"03/30/2022","104.80","105.80","106.13","104.27","297.78K","-1.55%"
"03/29/2022","106.45","105.58","106.60","104.77","765.75K","1.93%"
"03/28/2022","104.43","102.66","104.43","102.30","349.56K","1.24%"
"03/25/2022","103.15","103.49","103.56","101.90","595.34K","-0.20%"
"03/24/2022","103.36","101.07","103.38","100.71","651.20K","2.83%"
"03/23/2022","100.52","101.09","102.25","100.40","360.62K","-1.60%"
"03/22/2022","102.15","100.25","102.81","100.16","952.23K","1.77%"
"03/21/2022","100.37","100.22","100.98","98.93","335.85K","-0.19%"
"03/18/2022","100.56","97.91","100.70","97.57","799.30K","2.24%"
"03/17/2022","98.36","96.58","98.36","96.25","655.12K","1.11%"
"03/16/2022","97.28","94.88","97.29","93.66","509.80K","3.84%"
"03/15/2022","93.68","91.48","93.91","90.99","570.26K","3.19%"
"03/14/2022","90.78","92.48","93.43","90.50","906.59K","-2.47%"
"03/11/2022","93.08","96.11","96.11","92.96","385.67K","-2.23%"
"03/10/2022","95.20","95.25","95.49","93.81","337.71K","-1.67%"
"03/09/2022","96.82","95.41","97.23","94.73","517.59K","4.39%"
"03/08/2022","92.75","92.76","95.70","91.47","4.54M","-0.29%"
"03/07/2022","93.02","96.98","97.37","92.96","1.02M","-4.01%"
"03/04/2022","96.91","98.23","98.75","96.24","499.69K","-1.95%"
"03/03/2022","98.84","101.19","101.19","98.33","326.88K","-1.59%"
"03/02/2022","100.44","99.10","100.87","98.22","398.91K","2.01%"
"03/01/2022","98.46","99.97","100.55","97.75","462.96K","-1.68%"
"02/28/2022","100.14","98.95","100.66","98.49","481.38K","0.13%"
"02/25/2022","100.01","99.00","100.04","97.59","680.85K","1.28%"
"02/24/2022","98.75","91.61","98.90","91.42","1.04M","4.17%"
"02/23/2022","94.80","98.20","98.58","94.76","516.73K","-2.46%"
"02/22/2022","97.19","97.24","99.00","96.14","510.45K","-0.94%"
"02/18/2022","98.11","99.87","100.04","97.47","541.27K","-1.37%"
"02/17/2022","99.47","101.98","102.07","99.37","496.46K","-3.59%"
"02/16/2022","103.17","102.60","103.46","101.47","261.70K","-0.25%"
"02/15/2022","103.43","102.20","103.49","101.99","358.22K","2.75%"
"02/14/2022","100.66","100.33","101.61","99.56","443.55K","0.02%"
"02/11/2022","100.64","104.33","104.84","100.17","509.86K","-3.36%"
"02/10/2022","104.14","104.78","106.78","103.65","328.66K","-2.38%"
"02/09/2022","106.68","105.41","106.69","105.00","506.30K","2.50%"
"02/08/2022","104.08","102.33","104.39","102.26","407.16K","1.19%"
"02/07/2022","102.86","104.08","104.75","102.49","370.35K","-0.91%"
"02/04/2022","103.80","102.54","104.79","101.90","366.24K","0.96%"
"02/03/2022","102.81","104.63","105.75","102.52","465.66K","-4.45%"
"02/02/2022","107.60","107.88","108.16","106.24","476.90K","1.66%"
"02/01/2022","105.84","105.78","105.99","103.98","581.60K","0.55%"
"01/31/2022","105.26","102.49","105.38","102.00","474.62K","3.16%"
"01/28/2022","102.04","99.27","102.10","97.71","827.04K","3.72%"
"01/27/2022","98.38","100.99","101.57","98.11","828.38K","-0.87%"
"01/26/2022","99.24","101.82","102.88","98.14","1.22M","0.49%"
"01/25/2022","98.76","99.61","100.76","97.92","611.78K","-2.82%"
"01/24/2022","101.63","98.73","101.75","95.46","2.09M","1.00%"
"01/21/2022","100.62","102.48","103.85","100.62","1.15M","-2.23%"
"01/20/2022","102.91","105.38","106.60","102.77","992.17K","-1.40%"
"01/19/2022","104.37","106.09","107.46","104.29","638.96K","-1.23%"
"01/18/2022","105.67","106.75","107.58","105.41","694.17K","-2.75%"
"01/14/2022","108.66","106.76","108.72","106.71","470.30K","1.00%"
"01/13/2022","107.58","111.25","111.56","107.32","669.13K","-2.90%"
"01/12/2022","110.79","111.21","111.95","110.19","460.81K","0.48%"
"01/11/2022","110.26","108.55","110.42","107.86","598.89K","1.31%"
"01/10/2022","108.83","106.73","108.96","105.26","1.55M","0.38%"
"01/07/2022","108.42","109.47","110.24","107.64","4.54M","-1.01%"
"01/06/2022","109.53","109.00","110.60","108.53","1.06M","-0.12%"
"01/05/2022","109.66","113.12","113.16","109.62","761.24K","-3.73%"
"01/04/2022","113.91","115.58","115.70","112.74","761.76K","-1.30%"
"01/03/2022","115.41","114.96","115.80","114.14","881.98K","0.51%"
"12/31/2021","114.82","115.46","115.76","114.74","207.80K","-0.68%"
"12/30/2021","115.61","116.13","116.67","115.43","351.54K","-0.42%"
"12/29/2021","116.10","116.13","116.60","115.48","314.54K","-0.04%"
"12/28/2021","116.15","117.36","117.36","115.87","567.51K","-0.80%"
"12/27/2021","117.09","115.18","117.09","115.18","577.25K","2.04%"
"12/23/2021","114.75","114.20","115.17","114.12","406.22K","0.59%"
"12/22/2021","114.08","112.67","114.12","112.36","425.14K","1.13%"
"12/21/2021","112.81","111.23","112.95","110.00","556.07K","2.52%"
"12/20/2021","110.04","109.70","110.26","109.08","1.21M","-0.98%"
"12/17/2021","111.13","110.33","112.21","109.93","573.04K","-0.47%"
"12/16/2021","111.66","115.32","115.53","110.94","348.19K","-3.17%"
"12/15/2021","115.32","112.42","115.43","111.18","631.65K","2.65%"
"12/14/2021","112.34","112.67","113.30","110.99","392.06K","-1.68%"
"12/13/2021","114.26","116.04","116.35","114.17","355.56K","-1.53%"
"12/10/2021","116.04","115.55","116.17","114.75","276.10K","1.51%"
"12/09/2021","114.31","115.59","116.33","114.15","216.12K","-1.27%"
"12/08/2021","115.78","115.17","115.90","114.46","313.54K","0.69%"
"12/07/2021","114.99","113.35","115.21","113.35","319.98K","3.64%"
"12/06/2021","110.95","110.27","111.26","108.97","516.50K","0.77%"
"12/03/2021","110.10","112.53","112.88","108.79","4.72M","-1.80%"
"12/02/2021","112.12","110.25","112.68","110.18","558.53K","0.85%"
"12/01/2021","111.17","114.19","115.12","111.15","629.24K","-1.91%"
"11/30/2021","113.33","114.67","115.46","112.72","965.98K","-1.37%"
"11/29/2021","114.91","114.20","115.20","113.60","384.13K","2.50%"
"11/26/2021","112.11","113.47","114.18","111.81","401.20K","-2.28%"
"11/24/2021","114.72","113.28","114.74","112.46","289.04K","0.73%"
"11/23/2021","113.89","114.00","114.44","112.50","423.34K","-0.72%"
"11/22/2021","114.72","117.15","117.96","114.63","371.51K","-1.51%"
"11/19/2021","116.48","116.39","117.11","116.11","613.95K","0.50%"
