"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2023","106.98","107.30","107.35","106.11","495.69K","0.70%"
"06/12/2023","106.24","104.81","106.29","104.54","520.76K","2.11%"
"06/09/2023","104.04","104.05","105.02","103.66","658.29K","0.46%"
"06/08/2023","103.56","102.46","103.83","102.46","713.53K","0.99%"
"06/07/2023","102.54","104.68","105.39","102.31","1.03M","-2.10%"
"06/06/2023","104.74","104.32","105.11","103.97","702.76K","0.17%"
"06/05/2023","104.56","104.61","105.63","104.29","953.44K","-0.29%"
"06/02/2023","104.86","104.86","105.40","104.15","828.40K","0.64%"
"06/01/2023","104.19","102.75","104.62","102.50","637.87K","1.07%"
"05/31/2023","103.09","102.98","104.00","102.88","517.92K","-0.66%"
"05/30/2023","103.78","104.84","105.19","103.38","1.11M","0.50%"
"05/26/2023","103.26","100.74","103.43","100.74","1.13M","2.78%"
"05/25/2023","100.47","99.84","100.82","99.06","646.75K","3.52%"
"05/24/2023","97.05","96.74","97.40","96.37","401.15K","-0.58%"
"05/23/2023","97.62","98.51","98.91","97.59","451.15K","-1.45%"
"05/22/2023","99.06","98.22","99.36","98.20","362.53K","0.51%"
"05/19/2023","98.56","98.84","99.00","98.28","798.61K","-0.16%"
"05/18/2023","98.72","96.87","98.87","96.87","534.95K","2.12%"
"05/17/2023","96.67","95.61","96.80","95.21","753.78K","1.48%"
"05/16/2023","95.26","94.66","95.73","94.65","598.00K","0.27%"
"05/15/2023","95.00","94.20","95.00","93.95","255.25K","0.89%"
"05/12/2023","94.16","94.46","94.58","93.43","361.22K","-0.21%"
"05/11/2023","94.36","94.44","94.57","93.75","265.36K","0.08%"
"05/10/2023","94.28","93.79","94.53","93.22","362.44K","1.52%"
"05/09/2023","92.87","92.96","93.39","92.80","251.29K","-0.63%"
"05/08/2023","93.46","92.89","93.53","92.64","274.78K","0.38%"
"05/05/2023","93.11","91.79","93.43","91.69","316.91K","2.24%"
"05/04/2023","91.07","91.15","91.77","90.76","328.51K","-0.44%"
"05/03/2023","91.47","92.20","92.92","91.43","476.40K","-0.78%"
"05/02/2023","92.19","93.22","93.30","91.69","649.27K","-1.05%"
"05/01/2023","93.17","92.95","93.57","92.83","471.78K","0.14%"
"04/28/2023","93.04","92.21","93.06","91.95","365.82K","0.79%"
"04/27/2023","92.31","90.86","92.46","90.75","447.58K","2.61%"
"04/26/2023","89.96","90.23","90.94","89.76","493.98K","1.44%"
"04/25/2023","88.68","90.27","90.38","88.64","368.57K","-2.31%"
"04/24/2023","90.78","90.92","91.37","90.09","397.42K","-0.39%"
"04/21/2023","91.14","91.13","91.31","90.63","252.67K","-0.35%"
"04/20/2023","91.46","91.21","92.36","91.02","499.65K","-0.53%"
"04/19/2023","91.95","91.29","92.15","91.20","248.01K","-0.22%"
